"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"PSC","TPA",2169,0.07,0.4,0.48,0.53,0.58,0.63,0.68,0.72,0.77,0.82,0.88,0.93,0.98,1.05,1.12,1.23,1.33,1.5,1.75,2.28,11.52,"KY","21","Kentucky"
"Mothership","TPA",1021,0.07,0.3,0.35,0.4,0.43,0.47,0.5,0.53,0.57,0.6,0.63,0.68,0.72,0.78,0.85,0.92,0.98,1.08,1.2,1.53,3.27,"KY","21","Kentucky"
"Mothership","MT(TPA)",277,0.02,0.23,0.38,0.49,0.57,0.65,0.68,0.72,0.75,0.8,0.87,0.92,1,1.06,1.12,1.17,1.31,1.43,1.68,2.28,4.62,"KY","21","Kentucky"
"Mothership","MT(No TPA)",630,0.05,0.72,0.98,1.07,1.18,1.28,1.33,1.42,1.47,1.52,1.58,1.65,1.72,1.77,1.84,1.97,2.12,2.38,2.59,2.96,5.63,"KY","21","Kentucky"
"Transfer","TPA",11,0.15,0.21,0.27,0.3,0.33,0.34,0.35,0.37,0.38,0.47,0.55,0.61,0.67,0.77,0.87,0.89,0.92,1.11,1.3,1.55,1.8,"KY","21","Kentucky"
"Transfer","MT",432,0.02,0.18,0.23,0.28,0.33,0.4,0.43,0.5,0.53,0.58,0.67,0.75,0.87,1,1.13,1.31,1.58,1.8,2.37,3.15,11.22,"KY","21","Kentucky"
"Transfer","Transfer",3661,0.02,0.23,0.37,0.47,0.55,0.63,0.73,0.82,0.9,0.98,1.08,1.2,1.35,1.55,1.73,1.95,2.28,2.9,3.97,7.88,11.97,"KY","21","Kentucky"
"PSC","TPA",2522,0.1,0.38,0.47,0.52,0.55,0.6,0.63,0.67,0.72,0.75,0.8,0.83,0.88,0.95,1.02,1.1,1.22,1.4,1.6,2.02,7.32,"LA","22","Louisiana"
"Mothership","TPA",1136,0.07,0.35,0.43,0.5,0.53,0.58,0.62,0.67,0.7,0.73,0.78,0.82,0.87,0.93,1,1.08,1.18,1.32,1.49,1.85,8.2,"LA","22","Louisiana"
"Mothership","MT(TPA)",265,0.05,0.24,0.35,0.43,0.53,0.6,0.67,0.76,0.85,0.96,1.02,1.1,1.13,1.22,1.28,1.35,1.42,1.67,1.85,2.21,11.4,"LA","22","Louisiana"
"Mothership","MT(No TPA)",992,0.02,0.36,0.47,0.54,0.62,0.7,0.78,0.88,0.98,1.1,1.19,1.3,1.42,1.53,1.67,1.83,2.08,2.3,2.67,3.42,11.65,"LA","22","Louisiana"
"Transfer","TPA",4,0.52,0.58,0.65,0.71,0.78,0.84,0.91,0.96,0.99,1.03,1.06,1.09,1.12,1.16,1.17,1.17,1.17,1.17,1.17,1.17,1.17,"LA","22","Louisiana"
"Transfer","MT",94,0.23,0.38,0.48,0.62,0.77,0.85,0.93,1,1.13,1.27,1.41,1.54,1.66,1.82,1.88,2.17,2.27,2.64,3.18,3.69,5.83,"LA","22","Louisiana"
"Transfer","Transfer",1122,0.03,0.32,0.45,0.57,0.67,0.77,0.88,0.97,1.1,1.25,1.38,1.55,1.71,1.96,2.2,2.68,3.23,4.63,7.35,10.25,11.98,"LA","22","Louisiana"
"PSC","TPA",205,0.03,0.49,0.57,0.64,0.74,0.83,0.9,0.93,0.98,1.02,1.07,1.12,1.17,1.24,1.3,1.4,1.5,1.6,1.84,2.13,3.95,"MA","25","Massachusetts"
"Mothership","TPA",1152,0.15,0.38,0.45,0.5,0.55,0.58,0.63,0.68,0.73,0.77,0.82,0.87,0.93,1,1.12,1.2,1.3,1.5,1.8,2.18,9.93,"MA","25","Massachusetts"
"Mothership","MT(TPA)",311,0.02,0.26,0.38,0.47,0.53,0.61,0.68,0.72,0.82,0.9,0.95,1.01,1.08,1.19,1.3,1.43,1.63,1.73,1.98,2.4,11.72,"MA","25","Massachusetts"
"Mothership","MT(No TPA)",810,0.03,0.18,0.33,0.45,0.61,0.74,0.87,0.98,1.13,1.23,1.38,1.52,1.67,1.8,2.02,2.18,2.38,2.78,3.33,5.19,11.7,"MA","25","Massachusetts"
"Transfer","TPA",34,0.4,0.43,0.59,0.78,0.79,0.84,0.91,0.96,1.06,1.08,1.11,1.14,1.15,1.21,1.22,1.25,1.35,1.4,1.75,2.1,5.35,"MA","25","Massachusetts"
"Transfer","MT",948,0.02,0.17,0.25,0.33,0.42,0.48,0.58,0.67,0.75,0.83,0.92,1,1.1,1.22,1.33,1.45,1.66,1.88,2.22,2.96,11.92,"MA","25","Massachusetts"
"Transfer","Transfer",4613,0.02,0.15,0.25,0.32,0.37,0.42,0.45,0.5,0.53,0.58,0.63,0.7,0.77,0.88,1,1.2,1.45,2,3.32,7.84,11.98,"MA","25","Massachusetts"
"PSC","TPA",1785,0.13,0.45,0.55,0.62,0.67,0.72,0.75,0.78,0.83,0.88,0.93,0.97,1.02,1.1,1.17,1.27,1.39,1.57,1.86,2.4,5.5,"MD","24","Maryland"
"Mothership","TPA",737,0.03,0.48,0.55,0.6,0.65,0.7,0.73,0.78,0.82,0.85,0.92,0.97,1.03,1.1,1.18,1.28,1.38,1.55,1.76,2.09,11.93,"MD","24","Maryland"
"Mothership","MT(TPA)",226,0.33,0.73,0.9,0.96,1.03,1.12,1.22,1.28,1.35,1.4,1.47,1.53,1.68,1.77,1.86,1.95,2.1,2.23,2.52,3.03,4.97,"MD","24","Maryland"
"Mothership","MT(No TPA)",386,0.18,0.7,0.95,1.43,1.62,1.75,1.92,2.07,2.18,2.29,2.43,2.55,2.67,2.83,3.02,3.16,3.47,3.76,4.3,5.27,11.5,"MD","24","Maryland"
"Transfer","TPA",4,0.57,0.6,0.64,0.67,0.71,0.74,0.78,0.81,0.83,0.85,0.87,0.9,0.92,0.94,0.99,1.06,1.12,1.19,1.25,1.32,1.38,"MD","24","Maryland"
"Transfer","MT",728,0.1,0.45,0.5,0.55,0.6,0.63,0.68,0.73,0.78,0.84,0.9,0.95,1.02,1.08,1.17,1.27,1.36,1.52,1.78,2.15,10.92,"MD","24","Maryland"
"Transfer","Transfer",3509,0.02,0.23,0.32,0.38,0.43,0.5,0.55,0.6,0.67,0.72,0.77,0.83,0.92,1,1.1,1.22,1.4,1.7,2.25,4.09,11.92,"MD","24","Maryland"
"PSC","TPA",266,0.13,0.43,0.49,0.58,0.63,0.68,0.7,0.75,0.78,0.83,0.9,0.95,1.02,1.08,1.14,1.23,1.35,1.5,1.81,2.86,10,"ME","23","Maine"
"Mothership","TPA",14,0.18,0.27,0.36,0.44,0.47,0.48,0.48,0.49,0.51,0.53,0.53,0.54,0.56,0.59,0.62,0.65,0.69,0.74,0.77,0.85,0.98,"ME","23","Maine"
"Mothership","MT(TPA)",1,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,"ME","23","Maine"
"Mothership","MT(No TPA)",12,0.7,0.77,0.84,0.9,0.97,1.08,1.16,1.22,1.23,1.23,1.28,1.34,1.38,1.42,1.42,1.53,1.79,2.05,2.3,2.35,2.35,"ME","23","Maine"
"Transfer","TPA",39,0.18,0.38,0.43,0.56,0.59,0.64,0.73,0.79,0.88,0.93,0.93,0.93,1.03,1.08,1.16,1.22,1.33,1.67,1.78,2.04,2.72,"ME","23","Maine"
"Transfer","MT",503,0.03,0.58,0.7,0.78,0.88,0.96,1.03,1.15,1.22,1.32,1.43,1.57,1.7,1.85,2.05,2.22,2.48,2.73,3.31,4.16,11.57,"ME","23","Maine"
"Transfer","Transfer",44,0.02,0.12,0.44,0.67,0.73,0.77,0.85,0.94,1.04,1.23,1.46,1.54,1.88,2.22,2.83,3.13,3.99,5.04,8.17,9.13,11.9,"ME","23","Maine"
"PSC","TPA",3530,0.03,0.47,0.53,0.6,0.65,0.68,0.73,0.78,0.83,0.87,0.92,0.95,1,1.08,1.17,1.27,1.38,1.53,1.77,2.22,11.17,"MI","26","Michigan"
"Mothership","TPA",3047,0.07,0.37,0.43,0.48,0.53,0.57,0.62,0.65,0.68,0.72,0.77,0.8,0.85,0.92,0.98,1.06,1.17,1.28,1.48,1.88,10.32,"MI","26","Michigan"
"Mothership","MT(TPA)",643,0.03,0.45,0.55,0.64,0.72,0.78,0.87,0.93,0.98,1.05,1.12,1.18,1.23,1.33,1.43,1.59,1.72,1.88,2.18,2.76,11.85,"MI","26","Michigan"
"Mothership","MT(No TPA)",1310,0.05,0.55,0.75,0.97,1.1,1.22,1.32,1.42,1.53,1.62,1.75,1.83,1.95,2.05,2.18,2.33,2.58,2.9,3.55,4.9,11.92,"MI","26","Michigan"
"Transfer","TPA",29,0.1,0.29,0.34,0.37,0.45,0.52,0.55,0.58,0.7,0.77,0.83,0.91,0.94,1.09,1.21,1.32,1.47,1.61,2.24,2.46,3.6,"MI","26","Michigan"
"Transfer","MT",1476,0.02,0.23,0.32,0.4,0.47,0.53,0.58,0.65,0.73,0.8,0.87,0.92,0.98,1.07,1.16,1.3,1.47,1.67,2.02,2.87,12,"MI","26","Michigan"
"Transfer","Transfer",8519,0.02,0.23,0.33,0.42,0.48,0.53,0.58,0.63,0.68,0.73,0.8,0.87,0.93,1.02,1.13,1.28,1.5,1.78,2.54,5.5,11.97,"MI","26","Michigan"
"PSC","TPA",125,0.4,0.62,0.71,0.78,0.82,0.85,0.92,0.94,0.98,1.04,1.08,1.13,1.16,1.26,1.33,1.5,1.61,1.88,2.44,3.16,4.83,"MN","27","Minnesota"
"Mothership","TPA",627,0.22,0.38,0.44,0.5,0.55,0.58,0.62,0.67,0.72,0.75,0.8,0.85,0.9,0.97,1.03,1.12,1.22,1.38,1.63,2.2,5.72,"MN","27","Minnesota"
"Mothership","MT(TPA)",150,0.1,0.36,0.45,0.51,0.55,0.57,0.58,0.65,0.72,0.82,0.87,0.95,0.97,1.05,1.07,1.1,1.2,1.4,1.52,1.75,8.25,"MN","27","Minnesota"
"Mothership","MT(No TPA)",338,0.18,0.41,0.69,0.93,1.07,1.13,1.2,1.3,1.35,1.44,1.55,1.65,1.72,1.83,1.93,2.07,2.27,2.51,3.03,4.26,11.42,"MN","27","Minnesota"
"Transfer","TPA",29,0.05,0.16,0.21,0.24,0.33,0.38,0.44,0.51,0.54,0.63,0.7,0.76,0.9,1,1.14,1.3,1.32,1.4,1.5,1.77,2.33,"MN","27","Minnesota"
"Transfer","MT",608,0.02,0.27,0.35,0.4,0.43,0.45,0.5,0.53,0.57,0.62,0.67,0.7,0.75,0.82,0.9,1,1.11,1.3,1.56,2.09,10,"MN","27","Minnesota"
"Transfer","Transfer",7825,0.02,0.3,0.4,0.47,0.52,0.57,0.62,0.68,0.75,0.83,0.92,1.02,1.13,1.23,1.33,1.43,1.58,1.78,2.12,2.95,11.88,"MN","27","Minnesota"
"PSC","TPA",3487,0.02,0.37,0.43,0.5,0.55,0.58,0.63,0.68,0.72,0.77,0.82,0.87,0.93,0.98,1.05,1.17,1.28,1.42,1.67,2.12,7.22,"MO","29","Missouri"
"Mothership","TPA",2005,0.07,0.27,0.32,0.35,0.4,0.43,0.47,0.5,0.52,0.57,0.6,0.63,0.68,0.75,0.82,0.9,1.03,1.18,1.38,1.71,7.07,"MO","29","Missouri"
"Mothership","MT(TPA)",432,0.03,0.45,0.57,0.6,0.7,0.75,0.82,0.87,0.92,0.95,1.02,1.08,1.17,1.25,1.33,1.44,1.52,1.68,1.83,2.21,4.6,"MO","29","Missouri"
"Mothership","MT(No TPA)",795,0.22,0.53,0.65,0.78,0.92,1.02,1.1,1.18,1.25,1.33,1.42,1.5,1.58,1.7,1.8,1.92,2.12,2.23,2.48,3.11,12,"MO","29","Missouri"
"Transfer","TPA",48,0.13,0.24,0.37,0.43,0.46,0.53,0.57,0.57,0.6,0.63,0.72,0.81,0.86,0.97,1.01,1.07,1.16,1.28,2.02,2.08,4.12,"MO","29","Missouri"
"Transfer","MT",585,0.02,0.19,0.32,0.41,0.52,0.58,0.68,0.77,0.83,0.9,1.02,1.07,1.13,1.23,1.33,1.5,1.63,1.86,2.32,2.82,11.43,"MO","29","Missouri"
"Transfer","Transfer",5634,0.02,0.32,0.43,0.5,0.58,0.63,0.7,0.75,0.82,0.9,0.98,1.08,1.2,1.33,1.5,1.7,1.97,2.48,3.74,8.64,11.98,"MO","29","Missouri"
"PSC","TPA",410,0.18,0.38,0.45,0.52,0.58,0.6,0.65,0.72,0.76,0.82,0.86,0.9,0.95,0.98,1.03,1.12,1.19,1.3,1.47,1.79,2.87,"MS","28","Mississippi"
"Mothership","TPA",626,0.12,0.42,0.48,0.52,0.55,0.58,0.62,0.67,0.7,0.73,0.78,0.82,0.87,0.92,0.95,1,1.08,1.18,1.31,1.58,8.48,"MS","28","Mississippi"
"Mothership","MT(TPA)",145,0.08,0.15,0.21,0.26,0.33,0.4,0.47,0.52,0.57,0.61,0.68,0.74,0.78,0.82,0.89,0.95,1.02,1.13,1.32,1.63,5.13,"MS","28","Mississippi"
"Mothership","MT(No TPA)",508,0.3,0.72,0.83,0.92,0.98,1.07,1.15,1.22,1.3,1.35,1.42,1.46,1.52,1.58,1.67,1.75,1.9,2.08,2.27,2.88,11.38,"MS","28","Mississippi"
"Transfer","TPA",21,0.03,0.17,0.38,0.4,0.48,0.5,0.53,0.55,0.6,0.75,0.78,0.8,0.82,0.95,0.97,1.02,1.07,1.2,1.33,2.08,2.52,"MS","28","Mississippi"
"Transfer","MT",68,0.32,0.65,0.77,0.9,1.04,1.23,1.27,1.31,1.35,1.57,1.61,1.63,1.79,1.88,2.05,2.27,2.72,2.9,3.65,5.88,9.62,"MS","28","Mississippi"
"Transfer","Transfer",2436,0.02,0.38,0.5,0.6,0.72,0.8,0.9,0.98,1.08,1.2,1.32,1.43,1.53,1.67,1.82,2.02,2.25,2.67,3.74,7.69,11.97,"MS","28","Mississippi"
"PSC","TPA",314,0.17,0.37,0.45,0.5,0.57,0.62,0.65,0.68,0.72,0.77,0.8,0.84,0.9,0.95,1.02,1.1,1.15,1.4,1.66,2.14,6.95,"MT","30","Montana"
"Mothership","TPA",206,0.02,0.25,0.32,0.37,0.4,0.42,0.44,0.47,0.52,0.57,0.65,0.7,0.75,0.8,0.85,0.95,1,1.14,1.39,1.67,4.17,"MT","30","Montana"
"Mothership","MT(TPA)",24,0.15,0.19,0.31,0.32,0.35,0.38,0.4,0.42,0.52,0.58,0.63,0.68,0.77,0.8,0.85,0.86,0.9,0.97,1.13,1.25,1.85,"MT","30","Montana"
"Mothership","MT(No TPA)",71,0.28,0.64,0.72,0.77,0.8,0.88,0.9,0.95,1.02,1.05,1.07,1.11,1.17,1.2,1.23,1.26,1.33,1.57,2.2,3.96,9.33,"MT","30","Montana"
"Transfer","TPA",5,0.6,0.62,0.63,0.65,0.67,0.68,0.69,0.7,0.71,0.72,0.73,1.02,1.31,1.59,1.88,2.17,2.62,3.07,3.53,3.98,4.43,"MT","30","Montana"
"Transfer","MT",83,0.07,0.34,0.47,0.58,0.66,0.73,0.78,0.81,0.83,0.85,0.88,0.9,0.98,1.04,1.18,1.27,1.38,1.45,1.66,1.93,3.52,"MT","30","Montana"
"Transfer","Transfer",752,0.02,0.3,0.47,0.59,0.75,0.85,0.93,1,1.07,1.12,1.18,1.28,1.39,1.52,1.63,1.87,2.28,2.82,4.52,9.31,11.98,"MT","30","Montana"
"PSC","TPA",3523,0.05,0.48,0.57,0.62,0.67,0.72,0.77,0.8,0.83,0.88,0.92,0.97,1.02,1.1,1.17,1.27,1.37,1.52,1.73,2.13,5.33,"NC","37","North Carolina"
"Mothership","TPA",3416,0.08,0.23,0.28,0.32,0.35,0.37,0.4,0.43,0.47,0.52,0.55,0.6,0.65,0.7,0.77,0.85,0.93,1.1,1.3,1.75,9.7,"NC","37","North Carolina"
"Mothership","MT(TPA)",829,0.02,0.26,0.38,0.47,0.52,0.58,0.62,0.67,0.72,0.77,0.82,0.87,0.92,0.98,1.05,1.13,1.25,1.45,1.72,2.13,11.2,"NC","37","North Carolina"
"Mothership","MT(No TPA)",1738,0.02,0.33,0.52,0.67,0.77,0.88,0.98,1.05,1.13,1.2,1.27,1.35,1.43,1.53,1.65,1.8,1.98,2.25,2.62,3.75,11.3,"NC","37","North Carolina"
"Transfer","TPA",22,0.02,0.07,0.11,0.15,0.17,0.2,0.21,0.24,0.28,0.3,0.31,0.33,0.33,0.34,0.36,0.43,0.57,0.66,0.73,1.1,3.68,"NC","37","North Carolina"
"Transfer","MT",833,0.02,0.05,0.17,0.25,0.32,0.37,0.42,0.47,0.53,0.62,0.72,0.79,0.92,1,1.1,1.22,1.37,1.53,1.73,2.21,11.82,"NC","37","North Carolina"
"Transfer","Transfer",9080,0.02,0.22,0.3,0.37,0.43,0.47,0.5,0.55,0.58,0.63,0.67,0.72,0.77,0.83,0.9,1,1.13,1.33,1.63,2.63,11.98,"NC","37","North Carolina"
"PSC","TPA",187,0.35,0.47,0.53,0.58,0.63,0.68,0.72,0.75,0.81,0.84,0.87,0.9,0.93,0.97,1.02,1.13,1.26,1.52,1.86,2.23,4.87,"ND","38","North Dakota"
"Mothership","TPA",206,0.02,0.25,0.32,0.37,0.4,0.42,0.44,0.47,0.52,0.57,0.65,0.7,0.75,0.8,0.85,0.95,1,1.14,1.39,1.67,4.17,"ND","38","North Dakota"
"Mothership","MT(TPA)",24,0.15,0.19,0.31,0.32,0.35,0.38,0.4,0.42,0.52,0.58,0.63,0.68,0.77,0.8,0.85,0.86,0.9,0.97,1.13,1.25,1.85,"ND","38","North Dakota"
"Mothership","MT(No TPA)",71,0.28,0.64,0.72,0.77,0.8,0.88,0.9,0.95,1.02,1.05,1.07,1.11,1.17,1.2,1.23,1.26,1.33,1.57,2.2,3.96,9.33,"ND","38","North Dakota"
"Transfer","TPA",12,0.22,0.25,0.31,0.42,0.52,0.58,0.65,0.73,0.78,0.81,0.82,0.82,0.84,0.86,0.9,0.96,1.06,1.16,1.25,1.49,1.77,"ND","38","North Dakota"
"Transfer","MT",48,0.12,0.33,0.5,0.62,0.97,1.09,1.18,1.26,1.38,1.46,1.6,1.68,1.96,2.29,2.44,2.53,2.78,2.96,3.71,5,5.7,"ND","38","North Dakota"
"Transfer","Transfer",951,0.02,0.58,0.73,0.8,0.9,0.95,1,1.07,1.13,1.23,1.3,1.38,1.53,1.67,1.83,1.96,2.07,2.19,2.5,3.49,11.93,"ND","38","North Dakota"
"PSC","TPA",785,0.17,0.43,0.5,0.57,0.62,0.65,0.7,0.75,0.78,0.83,0.88,0.95,1.02,1.08,1.15,1.23,1.32,1.44,1.7,2.13,5.95,"NE","31","Nebraska"
"Mothership","TPA",264,0.12,0.37,0.4,0.46,0.48,0.52,0.53,0.55,0.58,0.62,0.64,0.67,0.7,0.77,0.82,0.85,0.9,1,1.19,1.45,4.72,"NE","31","Nebraska"
"Mothership","MT(TPA)",76,0.02,0.08,0.12,0.12,0.15,0.17,0.21,0.25,0.28,0.31,0.32,0.4,0.42,0.45,0.48,0.52,0.57,0.61,0.64,0.81,4.63,"NE","31","Nebraska"
"Mothership","MT(No TPA)",127,0.07,0.37,0.48,0.6,0.65,0.73,0.78,0.85,0.87,0.93,0.98,1.03,1.07,1.12,1.23,1.37,1.45,1.67,1.82,2.58,9.05,"NE","31","Nebraska"
"Transfer","TPA",8,0.3,0.36,0.42,0.47,0.47,0.47,0.47,0.47,0.48,0.51,0.57,0.64,0.67,0.68,0.7,0.72,0.74,0.76,1.57,2.51,3.45,"NE","31","Nebraska"
"Transfer","MT",262,0.02,0.07,0.1,0.13,0.26,0.33,0.4,0.45,0.5,0.57,0.63,0.76,0.82,0.92,1,1.12,1.25,1.42,1.75,2.53,5.85,"NE","31","Nebraska"
"Transfer","Transfer",1662,0.02,0.22,0.32,0.38,0.42,0.47,0.5,0.55,0.6,0.63,0.68,0.73,0.8,0.88,0.98,1.1,1.31,1.65,2.17,3.33,11.75,"NE","31","Nebraska"
"PSC","TPA",194,0.23,0.35,0.42,0.48,0.52,0.57,0.6,0.62,0.65,0.71,0.77,0.82,0.88,0.94,1.02,1.1,1.19,1.32,1.62,2.03,3.53,"NH","33","New Hampshire"
"Mothership","TPA",138,0.18,0.4,0.48,0.51,0.55,0.63,0.67,0.77,0.78,0.82,0.87,0.91,0.95,1,1.13,1.29,1.5,1.76,1.99,2.49,4.07,"NH","33","New Hampshire"
"Mothership","MT(TPA)",52,0.07,0.41,0.45,0.54,0.6,0.64,0.69,0.71,0.77,0.8,0.87,0.93,1,1.03,1.11,1.19,1.25,1.46,2.22,2.94,7.13,"NH","33","New Hampshire"
"Mothership","MT(No TPA)",67,0.6,0.87,1.05,1.15,1.28,1.35,1.48,1.55,1.58,1.61,1.72,1.85,1.88,2.15,2.21,2.33,2.44,2.82,3.36,4.47,10.75,"NH","33","New Hampshire"
"Transfer","TPA",39,0.18,0.38,0.43,0.56,0.59,0.64,0.73,0.79,0.88,0.93,0.93,0.93,1.03,1.08,1.16,1.22,1.33,1.67,1.78,2.04,2.72,"NH","33","New Hampshire"
"Transfer","MT",155,0.15,0.38,0.49,0.55,0.61,0.66,0.7,0.73,0.78,0.82,0.85,0.9,0.96,1.03,1.1,1.19,1.42,1.73,1.98,2.59,8.35,"NH","33","New Hampshire"
"Transfer","Transfer",1201,0.02,0.4,0.48,0.55,0.62,0.68,0.77,0.85,0.95,1.02,1.1,1.18,1.25,1.37,1.45,1.55,1.68,1.87,2.22,3.48,11.95,"NH","33","New Hampshire"
"PSC","TPA",3192,0.1,0.38,0.45,0.52,0.57,0.62,0.67,0.72,0.77,0.82,0.87,0.92,0.97,1.02,1.1,1.18,1.3,1.43,1.62,2.04,10.78,"NJ","34","New Jersey"
"Mothership","TPA",3173,0.05,0.35,0.4,0.45,0.48,0.53,0.57,0.62,0.65,0.68,0.73,0.78,0.83,0.88,0.97,1.02,1.12,1.24,1.42,1.77,8.8,"NJ","34","New Jersey"
"Mothership","MT(TPA)",738,0.02,0.36,0.49,0.6,0.72,0.78,0.85,0.93,1.03,1.07,1.15,1.2,1.3,1.4,1.48,1.62,1.77,1.94,2.18,2.63,11.3,"NJ","34","New Jersey"
"Mothership","MT(No TPA)",1306,0.03,0.39,0.63,0.93,1.17,1.35,1.48,1.58,1.68,1.78,1.89,2,2.12,2.23,2.37,2.53,2.73,2.97,3.47,4.65,11.7,"NJ","34","New Jersey"
"Transfer","TPA",9,0.27,0.28,0.29,0.34,0.42,0.5,0.53,0.57,0.6,0.63,0.67,0.76,0.85,0.93,1,1.07,1.07,1.08,1.12,1.18,1.25,"NJ","34","New Jersey"
"Transfer","MT",865,0.02,0.2,0.28,0.38,0.45,0.52,0.57,0.63,0.69,0.75,0.83,0.9,0.98,1.1,1.23,1.42,1.65,1.97,2.26,2.88,9.38,"NJ","34","New Jersey"
"Transfer","Transfer",4441,0.02,0.17,0.27,0.33,0.38,0.42,0.47,0.52,0.57,0.62,0.67,0.73,0.8,0.88,0.95,1.08,1.25,1.65,3.07,7.08,11.98,"NJ","34","New Jersey"
"PSC","TPA",623,0.18,0.34,0.4,0.45,0.48,0.55,0.6,0.65,0.7,0.75,0.83,0.9,0.98,1.07,1.22,1.37,1.52,1.75,2.04,2.41,4.27,"NM","35","New Mexico"
"Mothership","TPA",693,0.15,0.31,0.38,0.43,0.48,0.52,0.57,0.62,0.65,0.7,0.75,0.82,0.85,0.93,1.02,1.1,1.23,1.37,1.7,2.1,8.68,"NM","35","New Mexico"
"Mothership","MT(TPA)",164,0.02,0.19,0.32,0.44,0.5,0.58,0.7,0.73,0.8,0.89,0.99,1.05,1.13,1.22,1.3,1.4,1.52,1.68,1.96,2.99,6.02,"NM","35","New Mexico"
"Mothership","MT(No TPA)",565,0.05,0.15,0.2,0.27,0.33,0.4,0.47,0.57,0.68,0.8,0.93,1.08,1.28,1.42,1.55,1.75,1.93,2.23,2.7,3.63,10.67,"NM","35","New Mexico"
"Transfer","TPA",7,0.2,0.31,0.43,0.54,0.61,0.66,0.7,0.74,0.76,0.78,0.8,0.86,0.92,0.98,1.11,1.28,1.45,1.7,2.08,2.47,2.85,"NM","35","New Mexico"
"Transfer","MT",194,0.15,0.34,0.48,0.53,0.67,0.83,0.95,1.02,1.1,1.21,1.26,1.33,1.46,1.56,1.72,1.82,1.96,2.12,2.41,2.9,5.8,"NM","35","New Mexico"
"Transfer","Transfer",767,0.02,0.24,0.36,0.45,0.52,0.65,0.86,1.25,1.61,1.97,2.25,2.79,3.46,4.05,4.77,5.62,6.9,8.97,10.08,10.91,11.97,"NM","35","New Mexico"
"PSC","TPA",1286,0.05,0.42,0.5,0.57,0.62,0.67,0.73,0.77,0.82,0.87,0.93,0.98,1.03,1.1,1.2,1.28,1.38,1.57,1.78,2.16,11.18,"NV","32","Nevada"
"Mothership","TPA",531,0.13,0.36,0.43,0.5,0.58,0.62,0.67,0.7,0.73,0.78,0.83,0.87,0.92,0.97,1.02,1.1,1.23,1.36,1.57,2.11,7.17,"NV","32","Nevada"
"Mothership","MT(TPA)",128,0.02,0.16,0.2,0.22,0.3,0.33,0.39,0.45,0.53,0.62,0.75,0.91,1.05,1.24,1.32,1.5,1.79,2.05,2.35,2.96,10.3,"NV","32","Nevada"
"Mothership","MT(No TPA)",220,0.33,0.58,0.72,0.8,0.9,0.98,1.03,1.11,1.24,1.33,1.47,1.56,1.67,1.76,1.93,2.13,2.37,2.77,3.25,4.32,10.75,"NV","32","Nevada"
"Transfer","TPA",44,0.17,0.32,0.38,0.39,0.42,0.48,0.5,0.52,0.59,0.61,0.64,0.71,0.79,0.92,0.95,1.02,1.09,1.18,1.25,1.43,2.83,"NV","32","Nevada"
"Transfer","MT",285,0.03,0.14,0.2,0.25,0.32,0.38,0.43,0.58,0.63,0.7,0.8,0.88,1.02,1.16,1.25,1.4,1.5,1.7,2.04,3.03,10.82,"NV","32","Nevada"
"Transfer","Transfer",1436,0.02,0.23,0.3,0.33,0.4,0.43,0.48,0.53,0.6,0.67,0.75,0.9,1.13,1.47,2.16,3.42,5.52,7.86,9.79,11,11.98,"NV","32","Nevada"
"PSC","TPA",6626,0.02,0.47,0.55,0.6,0.67,0.72,0.77,0.82,0.87,0.92,0.98,1.03,1.12,1.18,1.27,1.38,1.5,1.67,1.92,2.4,11.55,"NY","36","New York"
"Mothership","TPA",4754,0.02,0.35,0.43,0.48,0.52,0.57,0.62,0.65,0.7,0.73,0.78,0.83,0.88,0.95,1.02,1.1,1.2,1.33,1.53,1.95,6.57,"NY","36","New York"
"Mothership","MT(TPA)",960,0.02,0.3,0.41,0.5,0.55,0.62,0.68,0.75,0.82,0.88,0.93,1.02,1.08,1.17,1.25,1.35,1.5,1.65,1.95,2.53,10.23,"NY","36","New York"
"Mothership","MT(No TPA)",2732,0.02,0.73,0.9,1.03,1.12,1.18,1.27,1.35,1.43,1.52,1.58,1.67,1.75,1.87,1.98,2.13,2.35,2.61,3.07,4.61,11.82,"NY","36","New York"
"Transfer","TPA",90,0.08,0.27,0.38,0.44,0.47,0.5,0.58,0.64,0.67,0.72,0.8,0.83,0.85,0.88,0.95,0.98,1.07,1.24,1.43,1.71,3.03,"NY","36","New York"
"Transfer","MT",2204,0.02,0.35,0.5,0.6,0.68,0.77,0.85,0.92,1,1.08,1.18,1.27,1.35,1.45,1.57,1.72,1.85,2.03,2.36,2.83,11.83,"NY","36","New York"
"Transfer","Transfer",17126,0.02,0.18,0.27,0.32,0.37,0.42,0.47,0.53,0.6,0.67,0.75,0.82,0.9,1,1.12,1.27,1.48,1.8,2.38,4.63,11.97,"NY","36","New York"
